REGION TYPE,REGION,YEAR,WEEK,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 25-49,AGE 25-64,AGE 5-24,AGE 50-64,AGE 65,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2010,40,X,2.13477,X,X,X,X,X,X,249,35,11664
States,Alaska,2010,40,X,0.875146,X,X,X,X,X,X,15,7,1714
States,Arizona,2010,40,X,0.674721,X,X,X,X,X,X,172,49,25492
States,Arkansas,2010,40,X,0.696056,X,X,X,X,X,X,18,15,2586
States,California,2010,40,X,1.95412,X,X,X,X,X,X,632,112,32342
States,Colorado,2010,40,X,0.660684,X,X,X,X,X,X,134,14,20282
States,Connecticut,2010,40,X,0.0783085,X,X,X,X,X,X,3,12,3831
States,Delaware,2010,40,X,0.100125,X,X,X,X,X,X,4,13,3995
States,District of Columbia,2010,40,X,2.80877,X,X,X,X,X,X,73,4,2599
States,Florida,2010,40,X,X,X,X,X,X,X,X,X,X,X
States,Georgia,2010,40,X,1.6049,X,X,X,X,X,X,647,62,40314
States,Hawaii,2010,40,X,1.02934,X,X,X,X,X,X,20,18,1943
States,Idaho,2010,40,X,0.414938,X,X,X,X,X,X,19,12,4579
States,Illinois,2010,40,X,1.28205,X,X,X,X,X,X,505,74,39390
States,Indiana,2010,40,X,0.518962,X,X,X,X,X,X,65,44,12525
States,Iowa,2010,40,X,0.563063,X,X,X,X,X,X,10,6,1776
States,Kansas,2010,40,X,0.442227,X,X,X,X,X,X,39,40,8819
States,Kentucky,2010,40,X,0.142932,X,X,X,X,X,X,19,14,13293
States,Louisiana,2010,40,X,2.28108,X,X,X,X,X,X,391,41,17141
States,Maine,2010,40,X,0.357724,X,X,X,X,X,X,22,30,6150
States,Maryland,2010,40,X,1.3192,X,X,X,X,X,X,117,17,8869
States,Massachusetts,2010,40,X,0.604621,X,X,X,X,X,X,168,56,27786
States,Michigan,2010,40,X,0.671831,X,X,X,X,X,X,98,47,14587
States,Minnesota,2010,40,X,0.5748,X,X,X,X,X,X,38,17,6611
States,Mississippi,2010,40,X,2.9098,X,X,X,X,X,X,491,42,16874
States,Missouri,2010,40,X,1.10176,X,X,X,X,X,X,106,33,9621
States,Montana,2010,40,X,0.0371195,X,X,X,X,X,X,1,7,2694
States,Nebraska,2010,40,X,2.19978,X,X,X,X,X,X,61,13,2773
States,Nevada,2010,40,X,1.66683,X,X,X,X,X,X,175,30,10499
States,New Hampshire,2010,40,X,0.0759301,X,X,X,X,X,X,3,21,3951
